sat_id,T_LOS_s,T_TX_s,RCU,N_visible,N_connected,longest_connected_s,longest_outage_s,p50_ms,p90_ms,p99_ms
MEO_P1_S1,637.0,637.0,1.0,637,637,637.0,0.0,83.0233097076416,83.44192504882812,83.53769302368164
MEO_P1_S2,637.0,637.0,1.0,637,637,637.0,0.0,78.84359359741211,78.86743545532227,78.87434959411621
MEO_P1_S3,637.0,637.0,1.0,637,637,637.0,0.0,85.0381851196289,85.34383773803711,85.42486190795898
MEO_P1_S4,637.0,637.0,1.0,637,637,637.0,0.0,160.57467460632324,160.84799766540527,160.93003273010254
MEO_P2_S2,637.0,637.0,1.0,637,637,637.0,0.0,158.66875648498535,160.2747917175293,160.6631088256836
MEO_P2_S3,637.0,637.0,1.0,637,637,637.0,0.0,93.21904182434082,93.25323104858398,93.27418327331543
MEO_P2_S4,637.0,637.0,1.0,637,637,637.0,0.0,91.2024974822998,91.42827987670898,91.49127006530762
MEO_P3_S2,637.0,637.0,1.0,637,637,637.0,0.0,82.25703239440918,82.53159523010254,82.59381294250488
MEO_P3_S3,637.0,637.0,1.0,637,637,637.0,0.0,77.82626152038574,77.83875465393066,77.8457260131836
MEO_P3_S4,637.0,637.0,1.0,637,637,637.0,0.0,86.89498901367188,87.20836639404297,87.29024887084961
MEO_P3_S1,393.0,393.0,1.0,393,393,393.0,0.0,129.78625297546387,130.5809497833252,130.79237937927246
MEO_P3_S5,56.0,56.0,1.0,56,56,56.0,0.0,162.00518608093262,162.0337963104248,162.04040050506592
